종목코드,종목명,종가,대비,등락률,상장시가총액
"005930","삼성전자","66800","-700","-1.04","3.98781474E8"
"000660","SK하이닉스","108000","-2000","-1.82","7.8624255E7"
"207940","삼성바이오로직스","847000","8000","0.95","5.6041755E7"
"035420","NAVER","311500","-1500","-0.48","5.110129E7"
"035720","카카오","95900","-200","-0.21","4.2797332E7"
"006400","삼성SDI","616000","-4000","-0.65","4.235895E7"
"005380","현대차","177500","0","0.00","3.7926103E7"
"051910","LG화학","509000","-5000","-0.97","3.5931503E7"
"000270","기아","76900","100","0.13","3.1172441E7"
"005490","POSCO홀딩스","284000","-2000","-0.70","2.4761061E7"
"105560","KB금융","60000","200","0.33","2.474115E7"
"068270","셀트리온","160000","-4000","-2.44","2.2072885E7"
"323410","카카오뱅크","46150","-550","-1.18","2.1928599E7"
"055550","신한지주","40650","-100","-0.25","2.0999772E7"
"066570","LG전자","126000","0","0.00","2.0619625E7"
"028260","삼성물산","109500","-1000","-0.90","2.0464135E7"
"012330","현대모비스","206000","-1500","-0.72","1.9482057E7"
"096770","SK이노베이션","209000","0","0.00","1.9325303E7"
"034730","SK","248500","-1000","-0.40","1.8426108E7"
"377300","카카오페이","133500","-1500","-1.11","1.7680565E7"
"086790","하나금융지주","47000","-100","-0.21","1.4111377E7"
"015760","한국전력","21850","-50","-0.23","1.4026915E7"
"051900","LG생활건강","886000","-8000","-0.89","1.3837723E7"
"259960","크래프톤","266000","-500","-0.19","1.3053164E7"
"017670","SK텔레콤","59500","-1000","-1.65","1.3020572E7"
"032830","삼성생명","64500","-900","-1.38","1.29E7"
"352820","하이브","298000","1000","0.34","1.2323309E7"
"010950","S-Oil","107500","1500","1.42","1.210265E7"
"010130","고려아연","628000","-6000","-0.95","1.185036E7"
"009150","삼성전기","157000","-2000","-1.26","1.172691E7"
"003550","LG","73300","-1500","-2.01","1.1530163E7"
"316140","우리금융지주","15350","-50","-0.32","1.1175729E7"
"033780","KT&G","79800","-1000","-1.24","1.0955941E7"
"018260","삼성에스디에스","138000","500","0.36","1.0678136E7"
"302440","SK바이오사이언스","134500","-3500","-2.54","1.0311517E7"
"003670","포스코케미칼","131500","1000","0.77","1.0186413E7"
"000810","삼성화재","213000","-4500","-2.07","1.009084E7"
"036570","엔씨소프트","445500","-1500","-0.34","9780517.0"
"090430","아모레퍼시픽","162500","-500","-0.31","9505073.0"
"030200","KT","34900","-450","-1.27","9112802.0"
"251270","넷마블","102500","-1000","-0.97","8810234.0"
"361610","SK아이이테크놀로지","122500","-2500","-2.00","8733955.0"
"024110","기업은행","11100","-50","-0.45","8261737.0"
"086280","현대글로비스","196000","-500","-0.25","7350000.0"
"326030","SK바이오팜","88500","-600","-0.67","6930723.0"
"034220","LG디스플레이","19050","-400","-2.06","6816389.0"
"009540","한국조선해양","92700","700","0.76","6560668.0"
"011170","롯데케미칼","193000","-4000","-2.03","6615156.0"
"018880","한온시스템","11350","-50","-0.44","6058630.0"
