,date,open,high,low,close,volume
0,1646611200000000000,47450,48700,46300,47000,1976256
1,1646697600000000000,47100,47350,43800,43800,1371239
2,1646870400000000000,41850,42850,40800,41850,1467437
3,1646956800000000000,42050,42200,40900,42100,669634
4,1647216000000000000,41900,43300,41900,42150,555392
5,1647302400000000000,41550,41650,40250,40600,514729
6,1647388800000000000,40150,40800,39250,40700,374850
7,1647475200000000000,40650,40700,39050,39450,791329
8,1647561600000000000,39950,40750,39550,39750,579000
9,1647820800000000000,39450,40500,39450,40150,336418
10,1647907200000000000,40650,41350,40150,40550,501144
11,1647993600000000000,40650,41400,40100,40850,536236
12,1648080000000000000,41800,43150,41550,42750,1235074
13,1648166400000000000,42250,42400,41150,41400,548594
14,1648425600000000000,41600,41600,40500,41100,288972
15,1648512000000000000,40600,40650,39250,39500,588183
16,1648598400000000000,39300,39750,39050,39150,373050
17,1648684800000000000,39950,40550,39250,39600,411467
18,1648771200000000000,39650,40100,38750,38800,390333
19,1649030400000000000,38900,39250,38700,39150,157741
20,1649116800000000000,39200,39250,38300,38450,335469
21,1649203200000000000,38300,38650,37950,38250,290060
22,1649289600000000000,37950,38100,36950,37000,469718
23,1649376000000000000,37000,37550,36800,37250,231763
24,1649635200000000000,37250,37850,36650,37800,194965
25,1649721600000000000,37400,38500,37000,37850,347268
26,1649808000000000000,38250,39000,38050,39000,402866
27,1649894400000000000,39000,40150,38700,39850,520986
