Date,Stock,Gain,Total
2021-11-30,,,3000
2021-12-01,1440,95,3095
2021-12-02,,,3095
2021-12-03,,,3095
2021-12-04,,,3095
2021-12-05,,,3095
2021-12-06,,,3095
2021-12-07,,,3095
2021-12-08,,,3095
2021-12-09,,,3095
2021-12-10,,,3095
2021-12-11,,,3095
2021-12-12,,,3095
2021-12-13,,,3095
2021-12-14,,,3095
2021-12-15,,,3095
2021-12-16,1440,-57,3038
2021-12-17,,,3038
2021-12-18,,,3038
2021-12-19,,,3038
2021-12-20,,,3038
2021-12-21,,,3038
2021-12-22,1440,-85,2953
2021-12-23,,,2953
2021-12-24,1440,86,3039
2021-12-25,,,3039
2021-12-26,,,3039
2021-12-27,,,3039
2021-12-28,,,3039
2021-12-29,,,3039
2021-12-30,,,3039
2021-12-31,,,3039
2022-01-01,,,3039
2022-01-02,,,3039
2022-01-03,,,3039
2022-01-04,,,3039
2022-01-05,,,3039
2022-01-06,1440,-62,2977
2022-01-07,,,2977
2022-01-08,,,2977
2022-01-09,,,2977
2022-01-10,,,2977
2022-01-11,,,2977
2022-01-12,1440,-143,2834
2022-01-13,,,2834
2022-01-14,,,2834
2022-01-15,,,2834
2022-01-16,,,2834
2022-01-17,1440,62,2896
2022-01-18,,,2896
2022-01-19,,,2896
2022-01-20,,,2896
2022-01-21,,,2896
2022-01-22,,,2896
2022-01-23,,,2896
2022-01-24,,,2896
2022-01-25,,,2896
2022-01-26,,,2896
2022-01-27,,,2896
2022-01-28,,,2896
2022-01-29,,,2896
2022-01-30,,,2896
2022-01-31,,,2896
2022-02-01,,,2896
2022-02-02,,,2896
2022-02-03,,,2896
2022-02-04,,,2896
2022-02-05,,,2896
2022-02-06,,,2896
2022-02-07,,,2896
2022-02-08,1440,-50,2846
2022-02-09,,,2846
2022-02-10,,,2846
2022-02-11,1440,-55,2791
2022-02-12,,,2791
2022-02-13,,,2791
2022-02-14,,,2791
2022-02-15,1440,250,3041
2022-02-16,,,3041
2022-02-17,,,3041
2022-02-18,,,3041
2022-02-19,,,3041
2022-02-20,,,3041
2022-02-21,,,3041
2022-02-22,1440,120,3161
2022-02-23,,,3161
2022-02-24,,,3161
2022-02-25,,,3161
2022-02-26,1440,210,3371
2022-02-27,,,3371
2022-02-28,,,3371
2022-03-01,,,3371
2022-03-02,,,3371
2022-03-03,,,3371
2022-03-04,,,3371
2022-03-05,,,3371
2022-03-06,,,3371
2022-03-07,1440,100,3471
2022-03-08,,,3471
2022-03-09,,,3471
2022-03-10,,,3471
2022-03-11,,,3471
2022-03-12,,,3471
2022-03-13,,,3471
2022-03-14,,,3471
2022-03-15,,,3471
2022-03-16,,,3471
2022-03-17,,,3471
2022-03-18,,,3471
2022-03-19,,,3471
2022-03-20,,,3471
2022-03-21,,,3471
2022-03-22,,,3471
2022-03-23,,,3471
2022-03-24,,,3471
2022-03-25,,,3471
2022-03-26,,,3471
2022-03-27,,,3471
2022-03-28,,,3471
2022-03-29,1440,890,4361
2022-03-30,,,4361
2022-03-31,,,4361
2022-04-01,,,4361
2022-04-02,,,4361
2022-04-03,,,4361
2022-04-04,,,4361
2022-04-05,,,4361
2022-04-06,,,4361
2022-04-07,,,4361
2022-04-08,,,4361
2022-04-09,,,4361
2022-04-10,,,4361
2022-04-11,,,4361
2022-04-12,,,4361
2022-04-13,,,4361
2022-04-14,,,4361
